iShares Core S&P Small-Cap ETF,,,,,,,,,,,
Inception Date,"May 22, 2000",,,,,,,,,,
Fund Holdings as of,"Oct 31, 2017",,,,,,,,,,
Total Net Assets,"34,235,870,069.89",,,,,,,,,,
Shares Outstanding,"457,450,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
MKSI,MKS INSTRUMENTS INC,Equity,0.77,108.65,2442771.00,"265,407,069.15","265,407,069.15",Information Technology,2404871,US55306N1046,NASDAQ
ALE,ALLETE INC,Equity,0.52,78.35,2289545.00,"179,385,850.75","179,385,850.75",Utilities,B02R1L6,US0185223007,New York Stock Exchange Inc.
LITE,LUMENTUM HOLDINGS INC,Equity,0.51,63.15,2769071.00,"174,866,833.65","174,866,833.65",Information Technology,BYM9ZP2,US55024U1097,NASDAQ
HCSG,HEALTHCARE SERVICES INC,Equity,0.51,52.89,3290328.00,"174,025,447.92","174,025,447.92",Industrials,2417619,US4219061086,NASDAQ
IBKR,INTERACTIVE BROKERS GROUP INC CLAS,Equity,0.51,54.02,3219528.00,"173,918,902.56","173,918,902.56",Financials,B1WT4X2,US45841N1072,NASDAQ
SR,SPIRE INC,Equity,0.5,78.95,2174658.00,"171,689,249.10","171,689,249.10",Utilities,BYXJQG9,US84857L1017,New York Stock Exchange Inc.
NKTR,NEKTAR THERAPEUTICS,Equity,0.49,24.09,7025704.00,"169,249,209.36","169,249,209.36",Health Care,2454445,US6402681083,NASDAQ
CHE,CHEMED CORP,Equity,0.47,223.43,720321.00,"160,941,321.03","160,941,321.03",Health Care,2190084,US16359R1032,New York Stock Exchange Inc.
STMP,STAMPS.COM INC,Equity,0.46,224.4,708505.00,"158,988,522.00","158,988,522.00",Information Technology,B013D75,US8528572006,NASDAQ
CACI,CACI INTERNATIONAL INC CLASS A,Equity,0.46,143.75,1102251.00,"158,448,581.25","158,448,581.25",Information Technology,2159267,US1271903049,New York Stock Exchange Inc.
SIGI,SELECTIVE INSURANCE GROUP INC,Equity,0.46,59.6,2619839.00,"156,142,404.40","156,142,404.40",Financials,2766173,US8163001071,NASDAQ
CMD,CANTEL MEDICAL CORP,Equity,0.46,98.08,1591992.00,"156,142,575.36","156,142,575.36",Health Care,2188153,US1380981084,New York Stock Exchange Inc.
AEIS,ADVANCED ENERGY INDUSTRIES INC,Equity,0.44,84.72,1796055.00,"152,161,779.60","152,161,779.60",Information Technology,2049175,US0079731008,NASDAQ
JBT,JOHN BEAN TECHNOLOGIES CORP,Equity,0.44,106.9,1422921.00,"152,110,254.90","152,110,254.90",Industrials,B3BRJZ8,US4778391049,New York Stock Exchange Inc.
AVA,AVISTA CORP,Equity,0.44,52.24,2891317.00,"151,042,400.08","151,042,400.08",Utilities,2942605,US05379B1070,New York Stock Exchange Inc.
PDCE,PDC ENERGY INC,Equity,0.44,50.93,2937148.00,"149,588,947.64","149,588,947.64",Energy,B89M5F2,US69327R1014,NASDAQ
B,BARNES GROUP INC,Equity,0.42,65.09,2227017.00,"144,956,536.53","144,956,536.53",Industrials,2080732,US0678061096,New York Stock Exchange Inc.
TREX,TREX INC,Equity,0.42,109.45,1319964.00,"144,470,059.80","144,470,059.80",Industrials,2483074,US89531P1057,New York Stock Exchange Inc.
VAC,MARRIOTT VACATIONS WORLDWIDE CORP,Equity,0.41,131.62,1079829.00,"142,127,092.98","142,127,092.98",Consumer Discretionary,B45K9N8,US57164Y1073,New York Stock Exchange Inc.
EVR,EVERCORE INC CLASS A,Equity,0.41,80.1,1761947.00,"141,131,954.70","141,131,954.70",Financials,B1BHXZ2,US29977A1051,New York Stock Exchange Inc.
EGP,EASTGROUP PROPERTIES REIT INC,Equity,0.41,90.59,1547315.00,"140,171,265.85","140,171,265.85",Real Estate,2455761,US2772761019,New York Stock Exchange Inc.
LCII,LCI INDUSTRIES,Equity,0.4,123.8,1118949.00,"138,525,886.20","138,525,886.20",Consumer Discretionary,BYQ44Y5,US50189K1034,New York Stock Exchange Inc.
NEOG,NEOGEN CORP,Equity,0.4,80.2,1714787.00,"137,525,917.40","137,525,917.40",Health Care,2630085,US6404911066,NASDAQ
FCFS,FIRSTCASH INC,Equity,0.4,63.85,2149345.00,"137,235,678.25","137,235,678.25",Financials,BZCG9B4,US33767D1054,New York Stock Exchange Inc.
ASGN,ON ASSIGNMENT INC,Equity,0.4,61.22,2237515.00,"136,980,668.30","136,980,668.30",Industrials,2658720,US6821591087,New York Stock Exchange Inc.
FIVE,FIVE BELOW INC,Equity,0.4,55.25,2477869.00,"136,902,262.25","136,902,262.25",Consumer Discretionary,B85KFY9,US33829M1018,NASDAQ
LGND,LIGAND PHARMACEUTICALS INC,Equity,0.4,145.35,941873.00,"136,901,240.55","136,901,240.55",Health Care,2501578,US53220K5048,NASDAQ
